ID;Name;global_id;AdmArea;District;Address;Capacity;DepartamentalAffiliation;ObjectOperOrgName;ObjectOperOrgPhone;Longitude_WGS84;Latitude_WGS84;geoData
32;Велосипедная парковка № 37124 «Гимназия № 1506»;2757725;Северо-Восточный административный округ;район Северное Медведково;Широкая улица, дом 1А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.650781;55.889628;{type=Point, coordinates=[37.650781000098, 55.889628000166]}
34;Велосипедная парковка № 21052 «Житная улица, дом 16»;2757727;Центральный административный округ;район Якиманка;Житная улица, дом 16;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.614030;55.730393;{type=Point, coordinates=[37.614030000153, 55.730393000138]}
35;Велосипедная парковка № 37018 «Школа здоровья № 266»;2757728;Северо-Восточный административный округ;район Лианозово;Череповецкая улица, дом 10А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.570777;55.896533;{type=Point, coordinates=[37.570776999572, 55.896533000007]}
36;Велосипедная парковка № 37106 «Центр образования № 1459»;2757729;Северо-Восточный административный округ;район Отрадное;Отрадная улица, дом 11А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.612922;55.857407;{type=Point, coordinates=[37.612922000116, 55.857407000177]}
38;Велосипедная парковка № 37017 «Школа № 263»;2757731;Северо-Восточный административный округ;район Отрадное;Отрадная улица, дом 11Б;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.613732;55.856873;{type=Point, coordinates=[37.613732000228, 55.856873000223]}
40;Велосипедная парковка № 37061 «Школа № 950»;2757733;Северо-Восточный административный округ;район Отрадное;Отрадная улица, дом 1А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.604736;55.859911;{type=Point, coordinates=[37.604735999681, 55.859910999858]}
2;Велосипедная парковка № 37026 «Школа № 301»;2757735;Северо-Восточный административный округ;Алтуфьевский район;Алтуфьевское шоссе, дом 60Б;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.591231;55.883355;{type=Point, coordinates=[37.591230999889, 55.883355000053]}
3;Велосипедная парковка № 37003 «Школа № 241»;2757736;Северо-Восточный административный округ;район Бибирево;Алтуфьевское шоссе, дом 94;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.590628;55.901533;{type=Point, coordinates=[37.590628000365, 55.901532999788]}
4;Велосипедная парковка № 37089 «Школа № 1956»;2757737;Северо-Восточный административный округ;район Марьина Роща;Старомарьинское шоссе, дом 5;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.610660;55.802872;{type=Point, coordinates=[37.61066000001, 55.802871999787]}
5;Велосипедная парковка № 37085 «Школа № 1414»;2757738;Северо-Восточный административный округ;район Марьина Роща;улица Советской Армии, дом 9;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.616177;55.789416;{type=Point, coordinates=[37.616176999734, 55.789415999761]}
6;Велосипедная парковка № 37094 «Центр образования № 166» (1);2757739;Северо-Восточный административный округ;район Лианозово;Алтуфьевское шоссе, дом 97, корпус 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.584654;55.903231;{type=Point, coordinates=[37.584653999808, 55.903230999829]}
7;Велосипедная парковка № 37004 «Школа № 242»;2757740;Северо-Восточный административный округ;район Марьина Роща;1-й проезд Марьиной Рощи, дом 3А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.622192;55.793707;{type=Point, coordinates=[37.622192000299, 55.793706999946]}
8;Велосипедная парковка № 37158 «Спецшкола - интернат № 35»;2757741;Северо-Восточный административный округ;район Марьина Роща;Новосущёвская улица, дом 7;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.603125;55.787099;{type=Point, coordinates=[37.603124999678, 55.787099000231]}
9;Велосипедная парковка № 37055 «Школа № 758»;2757742;Северо-Восточный административный округ;район Бибирево;улица Лескова, дом 3, корпус 3;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.590641;55.899410;{type=Point, coordinates=[37.590640999885, 55.899410000104]}
10;Велосипедная парковка № 37157 «Спецшкола - интернат № 35»;2757743;Северо-Восточный административный округ;район Марьина Роща;Новосущёвская улица, дом 20;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.604204;55.786786;{type=Point, coordinates=[37.604204000302, 55.78678599996]}
11;Велосипедная парковка № 37010 «Школа № 254»;2757744;Северо-Восточный административный округ;район Бибирево;улица Лескова, дом 8А;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.596403;55.896243;{type=Point, coordinates=[37.596402999832, 55.896243000148]}
12;Велосипедная парковка № 37096 «Центр образования № 293»;2757745;Северо-Восточный административный округ;Алексеевский район;Ярославская улица, дом 27;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.653290;55.827312;{type=Point, coordinates=[37.653290000077, 55.827312000086]}
15;Велосипедная парковка № 37071 «Школа № 1220»;2757748;Северо-Восточный административный округ;Останкинский район;Аргуновская улица, дом 12, корпус 2, строение 2;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.621024;55.817593;{type=Point, coordinates=[37.621023999986, 55.817592999783]}
16;Велосипедная парковка № 37032 «Школа здоровья № 306»;2757749;Северо-Восточный административный округ;район Ростокино;Сельскохозяйственная улица, дом 20, корпус 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.642691;55.837366;{type=Point, coordinates=[37.642690999923, 55.837365999848]}
30;Велосипедная парковка № 37080 «Школа № 1380»;2757751;Северо-Восточный административный округ;район Северное Медведково;улица Тихомирова, дом 10;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.651831;55.884897;{type=Point, coordinates=[37.65183100041, 55.884897000173]}
75;Велосипедная парковка № 37123 «Гимназия № 1503»;2757753;Северо-Восточный административный округ;Алексеевский район;улица Константинова, дом 20, корпус 1;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.658057;55.817218;{type=Point, coordinates=[37.658056999963, 55.817217999872]}
76;Велосипедная парковка № 37093 «Школа надомного обучения № 410»;2757754;Северо-Восточный административный округ;район Ростокино;улица Докукина, дом 5;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.653677;55.837235;{type=Point, coordinates=[37.653676999691, 55.837235000206]}
77;Велосипедная парковка № 37163 «Спецшкола № 102»;2757755;Северо-Восточный административный округ;район Свиблово;1-й Ботанический проезд, дом 1Б;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.632576;55.850803;{type=Point, coordinates=[37.632576000367, 55.850803000105]}
78;Велосипедная парковка № 37023 «Школа № 297»;2757756;Северо-Восточный административный округ;район Свиблово;1-й Ботанический проезд, дом 2;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.635883;55.850863;{type=Point, coordinates=[37.635882999863, 55.850863000014]}
79;Велосипедная парковка № 37140 «Гимназия № 1577»;2757757;Северо-Восточный административный округ;Ярославский район;Ярославское шоссе, дом 8, корпус 6;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.690287;55.852798;{type=Point, coordinates=[37.690287000069, 55.852797999857]}
80;Велосипедная парковка № 37135 «Гимназия № 1558 им. Росалии де Кастро»;2757758;Северо-Восточный административный округ;Бабушкинский район;Чукотский проезд, дом 6;10;Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;ГКУ Центр организации дорожного движения Правительства Москвы;(495) 361-78-07;37.654481;55.868075;{type=Point, coordinates=[37.654480999955, 55.868075000206]}
